@Battle
60/112,Battle_60-112
60/113,Battle_60-113
60/114,Battle_60-114
60/115,Battle_60-115
60/116,Battle_60-116
60/117,Battle_60-117
60/118,Battle_60-118
60/119,Battle_60-119
99/117,Battle_99-117
99/118,Battle_99-118
116/108,Dual Wield (Sub)_116-108
116/109,Dual Wield (Sub)_116-109
116/110,Dual Wield (Sub)_116-110
116/117,Dual Wield (Main)_116-117
116/118,Dual Wield (Main)_116-118
116/119,Dual Wield (Main)_116-119
@Emote
61/8,Emote_61-8
61/9,Emote_61-9
61/10,Emote_61-10
61/11,Emote_61-11
61/12,Emote_61-12
123/78,Emote_123-78
139/27,Emote_139-27
139/28,Emote_139-28
139/29,Emote_139-29
259/103,Job Emotes_259-103
261/16,Job Emotes_261-16
261/17,Job Emotes_261-17
261/18,Job Emotes_261-18
261/19,Job Emotes_261-19
261/20,Job Emotes_261-20
261/21,Job Emotes_261-21
261/22,Job Emotes_261-22
261/23,Job Emotes_261-23
261/24,Job Emotes_261-24
@General
61/13,Logging_61-13
90/50,Chocobo_90-50
90/51,Fishing_90-51
123/76,Mining_123-76
123/77,Harvesting_123-77
143/65,Goldfish Scooping_143-65
143/74,Goldfish Scooping_143-74
198/18,Dancing_198-18
223/105,Bell Ringing_223-105
223/106,Bell Ringing_223-106
223/107,Bell Ringing_223-107
@Ability
88/93,Steal_88-93
88/94,Steal_88-94
88/95,Mug_88-95
88/96,Mug_88-96
88/97,Bash_88-97
95/59,Bash_95-59
95/60,Bash_95-60
95/61,Bash_95-61
107/102,Jump_107-102
107/103,Jump_107-103
107/104,Jump_107-104
107/105,Jump_107-105
107/106,Jump_107-106
107/107,Jump_107-107
107/108,Jump_107-108
107/109,Jump_107-109
107/110,Jump_107-110
107/111,Jump_107-111
107/112,Jump_107-112
107/113,Jump_107-113
107/114,Jump_107-114
107/115,Jump_107-115
107/116,Jump_107-116
168/56,Tomahawk_168-56
168/57,Angon_168-57
@Hand-to-Hand
88/28,Combo_88-28
88/29,Shoulder Tackle_88-29
