@Battle
32/13,Battle_32-13
32/14,Battle_32-14
32/15,Battle_32-15
32/16,Battle_32-16
32/17,Battle_32-17
32/18,Battle_32-18
32/19,Battle_32-19
32/20,Battle_32-20
32/21,Battle_32-21
98/55,Battle_98-55
108/100,Dual Wield (Sub)_108-100
108/101,Dual Wield (Sub)_108-101
108/102,Dual Wield (Sub)_108-102
108/103,Dual Wield (Sub)_108-103
108/112,Dual Wield (Main)_108-112
108/113,Dual Wield (Main)_108-113
108/114,Dual Wield (Main)_108-114
108/115,Dual Wield (Main)_108-115
@Emote
32/40,Emote_32-40
32/41,Emote_32-41
32/42,Emote_32-42
32/43,Emote_32-43
32/44,Emote_32-44
123/15,Emote_123-15
136/119,Emote_136-119
136/120,Emote_136-120
136/121,Emote_136-121
259/82,Job Emotes_259-82
259/111,Job Emotes_259-111
259/112,Job Emotes_259-112
259/113,Job Emotes_259-113
259/114,Job Emotes_259-114
259/115,Job Emotes_259-115
259/116,Job Emotes_259-116
259/117,Job Emotes_259-117
259/118,Job Emotes_259-118
259/119,Job Emotes_259-119
@General
32/45,Logging_32-45
90/14,Chocobo_90-14
90/15,Fishing_90-15
123/13,Mining_123-13
123/14,Harvesting_123-14
143/47,Goldfish Scooping_143-47
143/68,Goldfish Scooping_143-68
198/3,Dancing_198-3
223/84,Bell Ringing_223-84
223/85,Bell Ringing_223-85
223/86,Bell Ringing_223-86
@Ability
76/104,Steal_76-104
76/105,Steal_76-105
76/106,Mug_76-106
76/107,Mug_76-107
76/108,Bash_76-108
95/5,Bash_95-5
95/6,Bash_95-6
95/7,Bash_95-7
100/56,Jump_100-56
100/57,Jump_100-57
100/58,Jump_100-58
100/59,Jump_100-59
100/60,Jump_100-60
100/61,Jump_100-61
100/62,Jump_100-62
100/63,Jump_100-63
100/64,Jump_100-64
100/65,Jump_100-65
100/66,Jump_100-66
100/67,Jump_100-67
100/68,Jump_100-68
100/69,Jump_100-69
100/70,Jump_100-70
168/26,Tomahawk_168-26
168/27,Angon_168-27
@Hand-to-Hand
76/39,Combo_76-39
76/40,Shoulder Tackle_76-40
76/41,One Inch Punch_76-41
76/42,Backhand Blow_76-42
76/43,Raging Fists_76-43
76/44,Spinning Attack_76-44
76/45,Howling Fist_76-45
100/20,Dragon Kick_100-20
100/21,Asuran Fists_100-21
139/74,Final Heaven_139-74
206/31,Ascetic's Fury_206-31
207/57,Stinging Pummel_207-57
242/67,Tornado Kick_242-67
255/47,Victory Smite_255-47
272/32,Shijin Spiral_272-32
@Dagger
76/46,Wasp Sting_76-46
76/47,Viper Bite_76-47
76/48,Shadowstitch_76-48
76/49,Gust Slash_76-49
76/50,Cyclone_76-50
76/51,Energy Steal_76-51
76/52,Energy Drain_76-52
76/53,Dancing Edge_76-53
100/22,Shark Bite_100-22
100/23,Evisceration_100-23
139/75,Mercy Stroke_139-75
207/58,Mandalic Stab_207-58
206/32,Mordant Rime_206-32
207/59,Pyrrhic Kleos_207-59
242/68,Aeolian Edge_242-68
257/78,Rudra's Storm_257-78
268/63,Exenterator_268-63
@Sword
76/30,Fast Blade_76-30
76/31,Burning Blade_76-31
76/32,Red Lotus Blade_76-32
76/35,Flat Blade_76-35
76/33,Shining Blade_76-33
76/34,Seraph Blade_76-34
76/36,Circle Blade_76-36
76/37,Spirits Within_76-37
76/38,Vorpal Blade_76-38
100/18,Swift Blade_100-18
100/19,Savage Blade_100-19
139/73,Knights of Round_139-73
207/55,Death Blossom_207-55
207/56,Atonement_207-56
206/30,Expiacion_206-30
240/57,Glory Slash_240-57
240/3,Uriel Blade_240-3
244/61,Sanguine Blade_244-61
255/51,Chant du Cygne_255-51
