@Basic
51/89,Basic_51-89
51/90,Basic_51-90
51/93,Basic_51-93
@Battle
56/14,Battle_56-14
56/15,Battle_56-15
56/16,Battle_56-16
56/17,Battle_56-17
56/18,Battle_56-18
56/19,Battle_56-19
56/20,Battle_56-20
56/21,Battle_56-21
56/22,Battle_56-22
99/86,Battle_99-86
115/61,Dual Wield (Sub)_115-61
115/62,Dual Wield (Sub)_115-62
115/63,Dual Wield (Sub)_115-63
115/64,Dual Wield (Sub)_115-64
115/73,Dual Wield (Main)_115-73
115/74,Dual Wield (Main)_115-74
115/75,Dual Wield (Main)_115-75
115/76,Dual Wield (Main)_115-76
@Emote
56/41,Emote_56-41
56/42,Emote_56-42
56/43,Emote_56-43
56/44,Emote_56-44
56/45,Emote_56-45
123/69,Emote_123-69
138/108,Emote_138-108
138/109,Emote_138-109
138/110,Emote_138-110
259/100,Job Emotes_259-100
260/121,Job Emotes_260-121
260/122,Job Emotes_260-122
260/123,Job Emotes_260-123
260/124,Job Emotes_260-124
260/125,Job Emotes_260-125
260/126,Job Emotes_260-126
260/127,Job Emotes_260-127
261/0,Job Emotes_261-0
261/1,Job Emotes_261-1
@General
56/46,Logging_56-46
90/44,Chocobo_90-44
90/45,Fishing_90-45
123/67,Mining_123-67
123/68,Harvesting_123-68
143/62,Goldfish Scooping_143-62
143/73,Goldfish Scooping_143-73
198/15,Dancing_198-15
223/102,Bell Ringing_223-102
223/103,Bell Ringing_223-103
223/104,Bell Ringing_223-104
@Ability
86/97,Steal_86-97
86/98,Steal_86-98
86/99,Mug_86-99
86/100,Mug_86-100
86/101,Bash_86-101
95/50,Bash_95-50
95/51,Bash_95-51
95/52,Bash_95-52
106/73,Jump_106-73
106/74,Jump_106-74
106/75,Jump_106-75
106/76,Jump_106-76
106/77,Jump_106-77
106/78,Jump_106-78
106/79,Jump_106-79
106/80,Jump_106-80
106/81,Jump_106-81
106/82,Jump_106-82
106/83,Jump_106-83
106/84,Jump_106-84
106/85,Jump_106-85
106/86,Jump_106-86
106/87,Jump_106-87
168/50,Tomahawk_168-50
168/51,Angon_168-51
@Hand-to-Hand
86/32,Combo_86-32
86/33,Shoulder Tackle_86-33
86/34,One Inch Punch_86-34
86/35,Backhand Blow_86-35
86/36,Raging Fists_86-36
86/37,Spinning Attack_86-37
86/38,Howling Fist_86-38
106/37,Dragon Kick_106-37
106/38,Asuran Fists_106-38
141/52,Final Heaven_141-52
206/106,Ascetic's Fury_206-106
209/26,Stinging Pummel_209-26
243/59,Tornado Kick_243-59
255/122,Victory Smite_255-122
272/62,Shijin Spiral_272-62
@Dagger
86/39,Wasp Sting_86-39
86/40,Viper Bite_86-40
86/41,Shadowstitch_86-41
86/42,Gust Slash_86-42
86/43,Cyclone_86-43
86/44,Energy Steal_86-44
86/45,Energy Drain_86-45
86/46,Dancing Edge_86-46
106/39,Shark Bite_106-39
106/40,Evisceration_106-40
141/53,Mercy Stroke_141-53
209/27,Mandalic Stab_209-27
