"itemId","NAME","MID","ModelID"
"16385","cesti","126","24702"
"16386","lizard_cesti","127","24703"
"16387","poison_cesti","128","24704"
"16388","himantes","127","24703"
"16389","coeurl_cesti","126","24702"
"16390","bronze_knuckles","130","24706"
"16391","brass_knuckles","131","24707"
"16392","metal_knuckles","132","24708"
"16393","mythril_knuckles","133","24709"
"16394","dst._knuckles","129","24705"
"16395","diamond_knuckles","135","24711"
"16396","koenigs_knuckles","134","24710"
"16397","behemoth_cesti","128","24704"
"16398","burning_cesti","127","24703"
"16399","katars","119","24695"
"16400","darksteel_katars","118","24694"
"16401","jamadhars","120","24696"
"16403","poison_katars","119","24695"
"16404","venom_katars","118","24694"
"16405","cat_baghnakhs","140","24716"
"16406","baghnakhs","142","24718"
"16407","brass_baghnakhs","141","24717"
"16408","rune_baghnakhs","143","24719"
"16409","lynx_baghnakhs","140","24716"
"16410","psn._baghnakhs","142","24718"
"16411","claws","123","24699"
"16412","mythril_claws","124","24700"
"16413","darksteel_claws","122","24698"
"16414","cermet_claws","125","24701"
"16416","dragon_claws","125","24701"
"16417","poison_claws","123","24699"
"16418","venom_claws","122","24698"
"16419","patas","138","24714"
"16420","bone_patas","139","24715"
"16421","gold_patas","137","24713"
"16422","tigerfangs","139","24715"
"16423","manoples","136","24712"
"16425","venom_claws_+1","122","24698"
"16426","avengers","117","24693"
"16427","lunaris_claws","117","24693"
"16428","afflictors","499","25075"
"16429","slc._baghnakhs","141","24717"
"16430","acid_claws","124","24700"
"16431","stun_claws","125","24701"
"16432","stun_jamadhars","120","24696"
"16433","lgn._knuckles","131","24707"
"16434","sonic_knuckles","129","24705"
"16437","metal_knuckles_+1","132","24708"
"16438","slc._baghnakhs_+1","141","24717"
"16439","poison_claws_+1","123","24699"
"16440","brz._knuckles_+1","130","24706"
"16441","brs._baghnakhs_+1","141","24717"
"16442","fsd._baghnakhs","140","24716"
"16443","fruit_punches","126","24702"
"16444","baghnakhs_+1","142","24718"
"16445","claws_+1","123","24699"
"16446","mtl._knuckles_+1","133","24709"
"16583","claymore","66","24642"
"16584","mythril_claymore","67","24643"
"16585","dst._claymore","65","24641"
"16586","adaman_claymore","64","24640"
"16587","gold_algol","386","24962"
"16588","flame_claymore","66","24642"
"16589","two-hand._sword","71","24647"
"16590","greatsword","72","24648"
"16591","zweihander","70","24646"
"16592","gigant_sword","69","24645"
"16593","plain_sword","71","24647"
"16594","inferno_sword","71","24647"
"16595","ram-dao","75","24651"
"16596","flamberge","74","24650"
"16597","nagan","73","24649"
"16598","gold_algol_+1","386","24962"
"16599","ryl.grd._sword","73","24649"
"16601","ryl.swd._blade","72","24648"
"16602","perdu_sword","70","24646"
"16603","halo_claymore","66","24642"
"16606","rusty_greatsword","72","24648"
"16607","chaosbringer","65","24641"
"16616","zweihander_+1","70","24646"
"16622","judges_sword","308","24884"
"16637","deathbringer","65","24641"
"16638","claymore_+1","66","24642"
"16639","fine_claymore","67","24643"
"16688","mythril_claws_+1","124","24700"
"16689","brass_knuckles_+1","131","24707"
"16690","cesti_+1","126","24702"
"16691","ryl.arc._cesti","126","24702"
