"itemId","NAME","MID","ModelID"
"17011","ebisu_fishing_rod","13","32781"
"17012","judges_rod","11","32779"
"17013","goldfish_basket","12","32780"
"17014","hume_fishing_rod","8","32776"
"17015","halcyon_rod","1","32769"
"17152","shortbow","50","32818"
"17153","self_bow","40","32808"
"17154","wrapped_bow","43","32811"
"17155","composite_bow","48","32816"
"17156","kaman","41","32809"
"17157","rapid_bow","38","32806"
"17158","rune_bow","51","32819"
"17159","freeswords_bow","44","32812"
"17160","longbow","37","32805"
"17161","power_bow","36","32804"
"17162","great_bow","34","32802"
"17163","battle_bow","35","32803"
"17164","war_bow","33","32801"
"17165","arco_de_velocidad","48","32816"
"17166","lamian_kaman","91","32859"
"17167","ryl.arc._longbow","37","32805"
"17170","speed_bow","46","32814"
"17172","wrapped_bow_+1","43","32811"
"17173","war_bow_+1","33","32801"
"17174","judges_bow","40","32808"
"17175","shortbow_+1","50","32818"
"17176","self_bow_+1","40","32808"
"17177","longbow_+1","37","32805"
"17178","power_bow_+1","36","32804"
"17179","composite_bow_+1","48","32816"
"17180","great_bow_+1","34","32802"
"17181","battle_bow_+1","35","32803"
"17182","kaman_+1","41","32809"
"17183","hunters_longbow","47","32815"
"17184","assassins_bow","43","32811"
"17185","siege_bow","101","32869"
"17186","sagittarius_bow","38","32806"
"17187","eurytos_bow","33","32801"
"17188","sniping_bow","43","32811"
"17189","rapid_bow_+1","38","32806"
"17190","sarnga","32","32800"
"17191","pharaohs_bow","48","32816"
"17192","ifrits_bow","46","32814"
"17193","shadow_bow","43","32811"
"17194","shadow_bow_+1","43","32811"
"17195","windurstian_bow","43","32811"
"17196","federation_bow","43","32811"
"17197","san_dorian_bow","37","32805"
"17198","kingdom_bow","37","32805"
"17199","loxley_bow","32","32800"
"17200","rosenbogen","38","32806"
"17201","rosenbogen_+1","38","32806"
"17202","platoon_bow","40","32808"
"17203","shikar_bow","36","32804"
"17204","mighty_bow","46","32814"
"17205","gendawa","31","32799"
"17206","gendawa_+1","31","32799"
"17207","expunger","45","32813"
"17208","hamayumi","82","32850"
"17209","martial_bow","36","32804"
"17210","martial_gun","59","32827"
"17211","almogavar_bow","53","32821"
"17212","selenes_bow","36","32804"
"17213","staurobow","62","32830"
"17214","staurobow_+1","62","32830"
"17215","thugs_zamburak","52","32820"
"17216","light_crossbow","56","32824"
"17217","crossbow","53","32821"
"17218","zamburak","55","32823"
"17219","arbalest","54","32822"
"17220","heavy_crossbow","52","32820"
"17221","rpt._crossbow","61","32829"
"17222","hexagun","90","32858"
"17223","lgn._crossbow","56","32824"
"17224","killer_crossbow","52","32820"
"17225","crossbow_+1","53","32821"
"17226","arbalest_+1","54","32822"
"17227","heavy_crossbow+1","52","32820"
"17228","light_crossbow_+1","56","32824"
"17229","zamburak_+1","55","32823"
