itemId,name,level,ilevel,jobs,MId,shieldSize,scriptType,slot,rslot,su_level,model_id
14916,abs._gauntlets_+1,75,"0",128,79,"0","0",64,"0","0",12367
10697,abs._gauntlets_+2,90,"0",128,79,"0","0",64,"0","0",12367
14938,abtal_dastanas,59,"0",2497,171,"0","0",64,"0","0",12459
15109,abyss_gauntlets,72,"0",128,79,"0","0",64,"0","0",12367
27963,acad._bracers,99,109,524288,214,"0","0",64,"0","0",12502
27984,acad._bracers_+1,99,119,524288,214,"0","0",64,"0","0",12502
23194,acad._bracers_+2,99,119,524288,214,"0","0",64,"0","0",12502
23529,acad._bracers_+3,99,119,524288,214,"0","0",64,"0","0",12502
11896,aces_mufflers,88,"0",10368,63,"0","0",64,"0","0",12351
27046,acro_gauntlets,99,119,10689,325,"0","0",64,"0","0",12613
11213,ad._mnchtte._+1,87,"0",512,291,"0","0",64,"0","0",12579
11113,ad._mnchtte._+2,87,"0",512,291,"0","0",64,"0","0",12579
12676,adaman_gauntlets,73,"0",65,55,"0","0",64,"0","0",12343
12685,adaman_mufflers,73,"0",385,63,"0","0",64,"0","0",12351
10321,adhara_gages,99,"0",49180,160,"0","0",64,"0","0",12448
27118,adhemar_wrist._+1,99,119,2462754,320,"0","0",64,"0","0",12608
27117,adhemar_wristbands,99,119,2462754,320,"0","0",64,"0","0",12608
14989,aero_mufflers,46,"0",6593,12,"0","0",64,"0","0",12300
28037,aeto._gloves_+1,99,115,2473969,6,"0","0",64,"0","0",12294
28036,aetosaur_gloves,99,114,2473969,6,"0","0",64,"0","0",12294
27111,agent_cuffs,1,"0",4194303,407,"0","0",64,"0","0",12695
26976,agoge_mufflers,99,109,1,65,"0","0",64,"0","0",12353
26977,agoge_mufflers_+1,99,119,1,65,"0","0",64,"0","0",12353
23197,agoge_mufflers_+2,99,119,1,65,"0","0",64,"0","0",12353
23532,agoge_mufflers_+3,99,119,1,65,"0","0",64,"0","0",12353
23773,agwus_gages,99,119,3670024,468,"0","0",64,"0","0",12756
13978,aiming_bracelets,51,"0",4179646,"0","0","0",64,"0","0",12288
14957,aiming_gloves,30,"0",2473969,1,"0","0",64,"0","0",12289
28026,aiwon_gauntlets,99,107,192,323,"0","0",64,"0","0",12611
14939,akinji_bazubands,55,"0",2473969,172,"0","0",64,"0","0",12460
10315,alcedo_gauntlets,99,"0",193,113,"0","0",64,"0","0",12401
15049,alchemists_cuffs,1,"0",4194303,115,"0","0",64,"0","0",12403
11911,alcides_mitts,87,"0",2594082,110,"0","0",64,"0","0",12398
11912,alcides_mitts_+1,87,"0",2594082,110,"0","0",64,"0","0",12398
14022,alkyoneuss_brc.,70,"0",2472947,"0","0","0",64,"0","0",12288
11925,alrunas_gloves,93,"0",66592,96,"0","0",64,"0","0",12384
28005,alrunas_gloves_+1,99,118,66592,96,"0","0",64,"0","0",12384
11924,alucinor_mitts,94,"0",2593459,242,"0","0",64,"0","0",12530
14051,alumine_moufles,45,"0",6593,150,"0","0",64,"0","0",12438
