itemId,name,level,ilevel,jobs,MId,shieldSize,scriptType,slot,rslot,su_level,model_id
10896,aas_circlet,99,"0",3850780,20,"0","0",16,"0","0",4116
15252,abs._burgeonet_+1,75,"0",128,79,"0","0",16,"0","0",4175
10657,abs._burgeonet_+2,90,"0",128,79,"0","0",16,"0","0",4175
16067,abtal_turban,59,"0",2497,171,"0","0",16,"0","0",4267
15079,abyss_burgeonet,75,"0",128,79,"0","0",16,"0","0",4175
27704,acad._mortar._+1,99,119,524288,214,"0","0",16,"0","0",4310
23060,acad._mortar._+2,99,119,524288,214,"0","0",16,"0","0",4310
23395,acad._mortar._+3,99,119,524288,214,"0","0",16,"0","0",4310
27683,acad._mortarboard,99,109,524288,214,"0","0",16,"0","0",4310
12493,accord_hat,77,"0",16384,101,"0","0",16,"0","0",4197
26697,accord_hat_+1,99,118,16384,101,"0","0",16,"0","0",4197
15223,aces_helm,74,"0",10368,114,"0","0",16,"0","0",4210
26734,acro_helm,99,119,10689,325,"0","0",16,"0","0",4421
11502,acubens_helm,75,"0",2594082,108,"0","0",16,"0","0",4204
12420,adaman_barbuta,73,"0",65,55,"0","0",16,"0","0",4151
12429,adaman_celata,73,"0",385,63,"0","0",16,"0","0",4159
23790,adenium_masque,1,"0",4194303,471,"0","0",16,"0","0",4567
10439,adhara_turban,99,"0",49180,160,"0","0",16,"0","0",4256
25613,adhemar_bonnet,99,119,2462754,320,"0","0",16,"0","0",4416
25614,adhemar_bonnet_+1,99,119,2462754,320,"0","0",16,"0","0",4416
26714,adorned_helm,99,119,2106337,55,"0","0",16,"0","0",4151
26715,adorned_helm_+1,99,119,2106337,55,"0","0",16,"0","0",4151
13914,aegishjalmr,70,"0",10432,55,"0","0",16,"0","0",4151
27746,aetosaur_helm,99,114,2473969,6,"0","0",16,"0","0",4102
27747,aetosaur_helm_+1,99,115,2473969,6,"0","0",16,"0","0",4102
25606,agent_hood,1,"0",4194303,407,"0","0",16,"0","0",4503
26624,agoge_mask,99,109,1,65,"0","0",16,"0","0",4161
26625,agoge_mask_+1,99,119,1,65,"0","0",16,"0","0",4161
23063,agoge_mask_+2,99,119,1,65,"0","0",16,"0","0",4161
23398,agoge_mask_+3,99,119,1,65,"0","0",16,"0","0",4161
23759,agwus_cap,99,119,3670024,468,"0","0",16,"0","0",4564
10446,ahriman_cap,1,"0",4194303,328,"0","0",16,"0","0",4424
11784,aias_bonnet,84,"0",2462754,134,"0","0",16,"0","0",4230
16068,akinji_khud,55,"0",2473969,172,"0","0",16,"0","0",4268
11802,alcides_cap,87,"0",2594082,110,"0","0",16,"0","0",4206
11803,alcides_cap_+1,87,"0",2594082,110,"0","0",16,"0","0",4206
26786,alhazen_hat,99,119,4194303,19,"0","0",16,"0","0",4115
26787,alhazen_hat_+1,99,119,4194303,19,"0","0",16,"0","0",4115
12540,alluring_headband,36,"0",4194303,"0","0","0",16,"0","0",4096
15205,alumine_salade,45,"0",6593,150,"0","0",16,"0","0",4246
25615,amalric_coif,99,119,1622040,322,"0","0",16,"0","0",4418
25616,amalric_coif_+1,99,119,1622040,322,"0","0",16,"0","0",4418
11822,amanita_hairpin,88,"0",4194303,"0","0","0",16,"0","0",4096
26760,amini_gapette,99,109,1024,292,"0","0",16,"0","0",4388
26761,amini_gapette_+1,99,119,1024,292,"0","0",16,"0","0",4388
16062,amir_puggaree,72,"0",10433,174,"0","0",16,"0","0",4270
23041,anch._crown_+2,99,119,2,66,"0","0",16,"0","0",4162
23376,anch._crown_+3,99,119,2,66,"0","0",16,"0","0",4162
27685,anchor._crown_+1,99,119,2,66,"0","0",16,"0","0",4162
27664,anchorites_crown,99,109,2,66,"0","0",16,"0","0",4162
23740,angantyr_beret,99,119,1720860,267,"0","0",16,"0","0",4363
26640,ankusa_helm,99,109,256,81,"0","0",16,"0","0",4177
26641,ankusa_helm_+1,99,119,256,81,"0","0",16,"0","0",4177
23071,ankusa_helm_+2,99,119,256,81,"0","0",16,"0","0",4177
23406,ankusa_helm_+3,99,119,256,81,"0","0",16,"0","0",4177
11484,antica_band,72,"0",4194303,"0","0","0",16,"0","0",4096
16097,anus_tiara,15,"0",16900,129,"0","0",16,"0","0",4225
11488,anwig_salade,75,"0",2594082,237,"0","0",16,"0","0",4333
12017,aoidos_calot,85,"0",512,291,"0","0",16,"0","0",4387
11173,aoidos_calot_+1,85,"0",512,291,"0","0",16,"0","0",4387
11073,aoidos_calot_+2,85,"0",512,291,"0","0",16,"0","0",4387
26676,apogee_crown,99,119,16384,107,"0","0",16,"0","0",4203
26677,apogee_crown_+1,99,119,16384,107,"0","0",16,"0","0",4203
11815,appetence_crown,88,"0",4179646,57,"0","0",16,"0","0",4153
26778,arbatel_bonnet,99,109,524288,306,"0","0",16,"0","0",4402
26779,arbatel_bonnet_+1,99,119,524288,306,"0","0",16,"0","0",4402
26644,arcadian_beret,99,109,1024,85,"0","0",16,"0","0",4181
26645,arcadian_beret_+1,99,119,1024,85,"0","0",16,"0","0",4181
23073,arcadian_beret_+2,99,119,1024,85,"0","0",16,"0","0",4181
23408,arcadian_beret_+3,99,119,1024,85,"0","0",16,"0","0",4181
26630,arch._petasos,99,109,8,71,"0","0",16,"0","0",4167
26631,arch._petasos_+1,99,119,8,71,"0","0",16,"0","0",4167
23066,arch._petasos_+2,99,119,8,71,"0","0",16,"0","0",4167
23401,arch._petasos_+3,99,119,8,71,"0","0",16,"0","0",4167
16084,ares_mask,75,"0",8385,182,"0","0",16,"0","0",4278
27648,ares_mask_+1,99,"0",8385,182,"0","0",16,"0","0",4278
26672,argosy_celata,99,119,385,63,"0","0",16,"0","0",4159
26673,argosy_celata_+1,99,119,385,63,"0","0",16,"0","0",4159
11480,argute_m.board,75,"0",524288,215,"0","0",16,"0","0",4311
11481,argute_m.board_+1,75,"0",524288,215,"0","0",16,"0","0",4311
10669,argute_m.board_+2,90,"0",524288,215,"0","0",16,"0","0",4311
13886,arh._jinpachi_+1,63,"0",6146,59,"0","0",16,"0","0",4155
13881,arhats_jinpachi,63,"0",6146,59,"0","0",16,"0","0",4155
12483,aristocrats_crown,66,"0",4,57,"0","0",16,"0","0",4153
25557,arke_zuchetto,99,119,8257,136,"0","0",16,"0",3,4232
25558,arke_zuchetto_+1,99,119,8257,136,"0","0",16,"0",3,4232
13924,armada_celata,73,"0",385,63,"0","0",16,"0","0",4159
25677,arthros_cap,1,"0",4194303,446,"0","0",16,"0","0",4542
25678,arthros_cap_+1,1,"0",4194303,446,"0","0",16,"0","0",4542
27725,artsieq_hat,99,119,1589788,364,"0","0",16,"0","0",4460
16106,askar_zucchetto,75,"0",10689,195,"0","0",16,"0","0",4291
15250,asn._bonnet_+1,75,"0",32,75,"0","0",16,"0","0",4171
10655,asn._bonnet_+2,90,"0",32,75,"0","0",16,"0","0",4171
15077,assassins_bonnet,71,"0",32,75,"0","0",16,"0","0",4171
27678,assim._keffiyeh,99,109,32768,165,"0","0",16,"0","0",4261
27699,assim._keffiyeh_+1,99,119,32768,165,"0","0",16,"0","0",4261
23055,assim._keffiyeh_+2,99,119,32768,165,"0","0",16,"0","0",4261
23390,assim._keffiyeh_+3,99,119,32768,165,"0","0",16,"0","0",4261
27658,ates_mask,45,"0",8385,62,"0","0",16,"0","0",4158
10877,athoss_chapeau,98,"0",2593826,326,"0","0",16,"0","0",4422
27688,atro._chapeau_+1,99,119,16,72,"0","0",16,"0","0",4168
23044,atro._chapeau_+2,99,119,16,72,"0","0",16,"0","0",4168
