@Basic
46/93,Basic_46-93
46/94,Basic_46-94
46/97,Basic_46-97
@Battle
51/19,Battle_51-19
51/20,Battle_51-20
51/21,Battle_51-21
51/22,Battle_51-22
51/23,Battle_51-23
51/24,Battle_51-24
99/55,Battle_99-55
114/20,Dual Wield (Sub)_114-20
114/21,Dual Wield (Sub)_114-21
114/22,Dual Wield (Sub)_114-22
114/29,Dual Wield (Main)_114-29
114/30,Dual Wield (Main)_114-30
114/31,Dual Wield (Main)_114-31
@Emote
51/37,Emote (Male)_51-37
51/38,Emote (Male)_51-38
51/39,Emote (Male)_51-39
51/40,Emote (Male)_51-40
51/41,Emote (Male)_51-41
123/51,Emote (Male)_123-51
138/52,Emote (Male)_138-52
138/53,Emote (Male)_138-53
138/54,Emote (Male)_138-54
51/71,Emote (Female)_51-71
51/72,Emote (Female)_51-72
51/73,Emote (Female)_51-73
51/74,Emote (Female)_51-74
51/75,Emote (Female)_51-75
123/60,Emote (Female)_123-60
138/61,Emote (Female)_138-61
138/62,Emote (Female)_138-62
138/63,Emote (Female)_138-63
259/94,Job Emotes (Male)_259-94
260/75,Job Emotes (Male)_260-75
260/76,Job Emotes (Male)_260-76
260/77,Job Emotes (Male)_260-77
260/78,Job Emotes (Male)_260-78
260/79,Job Emotes (Male)_260-79
260/80,Job Emotes (Male)_260-80
260/81,Job Emotes (Male)_260-81
260/82,Job Emotes (Male)_260-82
260/83,Job Emotes (Male)_260-83
259/97,Job Emotes (Female)_259-97
260/98,Job Emotes (Female)_260-98
260/99,Job Emotes (Female)_260-99
260/100,Job Emotes (Female)_260-100
260/101,Job Emotes (Female)_260-101
260/102,Job Emotes (Female)_260-102
260/103,Job Emotes (Female)_260-103
260/104,Job Emotes (Female)_260-104
260/105,Job Emotes (Female)_260-105
260/106,Job Emotes (Female)_260-106
@General
51/42,Logging (Male)_51-42
51/76,Logging (Female)_51-76
90/38,Chocobo_90-38
90/39,Fishing_90-39
123/49,Mining (Male)_123-49
123/58,Mining (Female)_123-58
123/50,Harvesting (Male)_123-50
123/59,Harvesting (Female)_123-59
143/59,Goldfish Scooping_143-59
143/72,Goldfish Scooping_143-72
198/12,Dancing (Male)_198-12
198/32,Dancing (Female)_198-32
223/96,Bell Ringing (Male)_223-96
223/97,Bell Ringing (Male)_223-97
223/98,Bell Ringing (Male)_223-98
223/99,Bell Ringing (Female)_223-99
223/100,Bell Ringing (Female)_223-100
223/101,Bell Ringing (Female)_223-101
@Ability
84/101,Steal_84-101
84/102,Steal_84-102
84/103,Mug_84-103
84/104,Mug_84-104
84/105,Bash_84-105
95/41,Bash_95-41
95/42,Bash_95-42
95/43,Bash_95-43
105/44,Jump_105-44
105/45,Jump_105-45
105/46,Jump_105-46
