itemId,name,level,ilevel,jobs,MId,shieldSize,scriptType,slot,rslot,su_level,model_id
15672,abs._sollerets_+1,75,"0",128,79,"0","0",256,"0","0",20559
10737,abs._sollerets_+2,90,"0",128,79,"0","0",256,"0","0",20559
15693,abtal_boots,59,"0",2497,171,"0","0",256,"0","0",20651
15139,abyss_sollerets,71,"0",128,79,"0","0",256,"0","0",20559
28243,acad._loafers,99,109,524288,214,"0","0",256,"0","0",20694
28264,acad._loafers_+1,99,119,524288,214,"0","0",256,"0","0",20694
23328,acad._loafers_+2,99,119,524288,214,"0","0",256,"0","0",20694
23663,acad._loafers_+3,99,119,524288,214,"0","0",256,"0","0",20694
11432,aces_leggings,85,"0",10368,16,"0","0",256,"0","0",20496
27403,acro_leggings,99,119,10689,325,"0","0",256,"0","0",20805
12932,adaman_sabatons,73,"0",65,55,"0","0",256,"0","0",20535
12941,adaman_sollerets,73,"0",385,63,"0","0",256,"0","0",20543
10368,adhara_crackows,99,"0",49180,160,"0","0",256,"0","0",20640
27474,adhe._gamashes_+1,99,119,2462754,320,"0","0",256,"0","0",20800
27473,adhemar_gamashes,99,119,2462754,320,"0","0",256,"0","0",20800
28271,adsilio_boots,75,"0",2473969,6,"0","0",256,"0","0",20486
28272,adsilio_boots_+1,75,"0",2473969,6,"0","0",256,"0","0",20486
28315,aeto._ledel._+1,99,115,2473969,391,"0","0",256,"0","0",20871
28314,aeto._ledelsens,99,114,2473969,391,"0","0",256,"0","0",20871
27467,agent_boots,1,"0",4194303,407,"0","0",256,"0","0",20887
27328,agoge_calligae,99,109,1,65,"0","0",256,"0","0",20545
27329,agoge_calligae_+1,99,119,1,65,"0","0",256,"0","0",20545
23331,agoge_calligae_+2,99,119,1,65,"0","0",256,"0","0",20545
23666,agoge_calligae_+3,99,119,1,65,"0","0",256,"0","0",20545
28341,agrarian_boots,30,"0",4194303,103,"0","0",256,"0","0",20583
14162,agronas_leggings,75,"0",2594082,16,"0","0",256,"0","0",20496
23787,agwus_pigaches,99,119,3670024,468,"0","0",256,"0","0",20948
25920,ahosi_leggings,99,119,2593826,110,"0","0",256,"0","0",20590
11461,aifes_pumps,94,"0",1589788,57,"0","0",256,"0","0",20537
14134,air_solea,28,"0",3851870,3,"0","0",256,"0","0",20483
