itemId,name,level,ilevel,jobs,MId,shieldSize,scriptType,slot,rslot,su_level,model_id
16931,2-hand._sword_+1,20,"0",2097345,71,"0","0",1,"0","0",24647
20922,aakab_scythe,99,100,128,201,"0","0",1,"0","0",24777
20923,aakab_scythe_+1,99,101,128,201,"0","0",1,"0","0",24777
21164,ababinili,99,119,4,292,"0","0",1,"0","0",24868
21165,ababinili_+1,99,119,4,292,"0","0",1,"0","0",24868
18293,abaddon_killer,75,"0",1,96,"0",1,1,"0","0",24672
19438,absolution,80,"0",128,322,"0","0",1,"0","0",24898
19496,absolution_+1,85,"0",128,322,"0","0",1,"0","0",24898
19574,absolution_+2,90,"0",128,322,"0","0",1,"0","0",24898
19672,absolution_+3,95,"0",128,322,"0","0",1,"0","0",24898
21823,abyss_scythe,99,119,128,372,"0","0",1,"0",4,24948
18761,acantha_shavers,69,"0",135427,509,"0","0",1,"0","0",25085
18127,achilles_spear,74,"0",8192,213,"0","0",1,"0","0",24789
16430,acid_claws,41,"0",4256,124,"0","0",1,"0","0",24700
16586,adaman_claymore,70,"0",2097345,64,"0","0",1,"0","0",24640
18745,adaman_sainti,70,"0",131072,506,"0","0",1,"0","0",25082
18353,adargas,47,"0",131074,510,"0","0",1,"0","0",25086
18354,adargas_+1,47,"0",131074,510,"0","0",1,"0","0",25086
18565,adflictio,99,"0",128,596,"0","0",1,"0","0",25172
21860,aern_spear,1,"0",4194303,828,"0","0",1,"0","0",25404
21861,aern_spear_ii,1,"0",4194303,894,"0","0",1,"0","0",25470
22065,aern_staff,1,"0",4194303,829,"0","0",1,"0","0",25405
22066,aern_staff_ii,1,"0",4194303,895,"0","0",1,"0","0",25471
20761,aettir,99,119,2097152,705,"0","0",1,"0","0",25281
16428,afflictors,77,"0",135427,499,"0","0",1,"0","0",25075
21754,aganoshe,99,119,1,451,"0","0",1,"0","0",25027
18924,agnis_staff,80,"0",1589788,305,"0","0",1,"0","0",24881
19517,agnis_staff_+1,85,"0",1589788,305,"0","0",1,"0","0",24881
19595,agnis_staff_+2,90,"0",1589788,305,"0","0",1,"0","0",24881
19693,agnis_staff_+3,95,"0",1589788,305,"0","0",1,"0","0",24881
21773,agoge_chopper,99,119,1,92,"0","0",1,"0",4,24668
18291,agonal_bhuj,75,"0",1,96,"0","0",1,"0","0",24672
21675,agwus_claymore,99,119,2097345,881,"0","0",1,"0","0",25457
21832,agwus_scythe,99,119,128,883,"0","0",1,"0","0",25459
20955,aigilis_lance,99,109,8192,211,"0","0",1,"0","0",24787
20851,aizkora,99,119,1,339,"0","0",1,"0","0",24915
20852,aizkora_+1,99,119,1,339,"0","0",1,"0","0",24915
21776,ajja_chopper,99,119,2097281,97,"0","0",1,"0","0",24673
21671,ajja_claymore,99,119,2097345,69,"0","0",1,"0","0",24645
21516,ajja_knuckles,99,119,397747,135,"0","0",1,"0","0",24711
21880,ajja_lance,99,119,10305,391,"0","0",1,"0","0",24967
21827,ajja_scythe,99,119,393,194,"0","0",1,"0","0",24770
22083,ajja_staff,99,119,1590047,293,"0","0",1,"0","0",24869
21972,ajja_tachi,99,119,6144,156,"0","0",1,"0","0",24732
21150,akademos,99,119,524288,438,"0","0",1,"0","0",25014
20551,akua_sainti,99,100,131074,508,"0","0",1,"0","0",25084
20552,akua_sainti_+1,99,101,131074,508,"0","0",1,"0","0",25084
18499,alastor,69,"0",2097281,364,"0","0",1,"0","0",24940
19344,albion,75,"0",192,70,"0","0",1,"0","0",24646
18385,algol,75,"0",2097345,377,"0","0",1,"0","0",24953
18593,alkalurops,73,"0",1589788,438,"0","0",1,"0","0",25014
18445,amakura,57,"0",2048,148,"0","0",1,"0","0",24724
18318,amanomurakumo,75,"0",2048,340,"0",1,1,"0","0",24916
18319,amanomurakumo,80,"0",2048,340,"0",1,1,"0","0",24916
18646,amanomurakumo,85,"0",2048,340,"0",1,1,"0","0",24916
18660,amanomurakumo,90,"0",2048,340,"0",1,1,"0","0",24916
18674,amanomurakumo,95,"0",2048,340,"0",1,1,"0","0",24916
19755,amanomurakumo,99,"0",2048,340,"0",1,1,"0","0",24916
19848,amanomurakumo,99,"0",2048,552,"0",1,1,"0","0",25128
21015,amanomurakumo,99,119,2048,340,"0",1,1,"0","0",24916
21016,amanomurakumo,99,119,2048,552,"0",1,1,"0","0",25128
21954,amanomurakumo,99,119,2048,552,"0",1,1,"0","0",25128
18455,ame-no-ohabari,85,"0",2048,148,"0","0",1,"0","0",24724
18482,amood,75,"0",1,376,"0","0",1,"0","0",24952
18483,amood_+1,75,"0",1,376,"0","0",1,"0","0",24952
21049,anahera_blade,99,119,2048,588,"0","0",1,"0","0",25164
20913,anahera_scythe,99,119,128,586,"0","0",1,"0","0",25162
20910,anaimatos_scythe,99,109,128,201,"0","0",1,"0","0",24777
20890,anguta,99,119,128,765,"0","0",1,"0","0",25341
20938,annealed_lance,99,119,8192,590,"0","0",1,"0","0",25166
18051,antlion_sickle,46,"0",393,350,"0","0",1,"0","0",24926
19926,apamajas_i,99,"0",1589788,305,"0","0",1,"0","0",24881
19927,apamajas_ii,99,"0",1589788,305,"0","0",1,"0","0",24881
