itemId,name,level,ilevel,jobs,MId,shieldSize,scriptType,slot,rslot,su_level,model_id
19943,accipiter,99,"0",1024,37,"0","0",4,"0","0",32805
21243,ahkormaar_bow,99,100,1024,35,"0","0",4,"0","0",32803
21244,ahkormaar_bow_+1,99,101,1024,35,"0","0",4,"0","0",32803
19738,aifes_bow,94,"0",1024,37,"0","0",4,"0","0",32805
19945,aithon,99,"0",66560,60,"0","0",4,"0","0",32828
22109,ajja_bow,99,119,7665,38,"0","0",4,"0","0",32806
21233,ajjub_bow,99,115,1024,119,"0","0",4,"0","0",32887
21390,albin_bane,99,119,299040,27,"0","0",4,"0","0",32795
19770,aliyat_chakram,95,"0",299040,26,"0","0",4,"0","0",32794
17211,almogavar_bow,20,"0",1185,53,"0","0",4,"0","0",32821
21455,alternator,99,113,131072,"0","0","0",4,"0","0",32768
19215,amanokakoyumi,69,"0",3072,31,"0","0",4,"0","0",32799
19263,amazon_bow,77,"0",1024,32,"0","0",4,"0","0",32800
19264,amazon_bow_+1,77,"0",1024,32,"0","0",4,"0","0",32800
18940,anarchy,80,"0",66560,58,"0","0",4,"0","0",32826
19533,anarchy_+1,85,"0",66560,58,"0","0",4,"0","0",32826
19611,anarchy_+2,90,"0",66560,58,"0","0",4,"0","0",32826
19709,anarchy_+3,95,"0",66560,58,"0","0",4,"0","0",32826
17350,angels_flute,48,"0",512,67,"0","0",4,"0","0",32835
17378,angels_flute_+1,48,"0",512,67,"0","0",4,"0","0",32835
17840,angel_lyre,71,"0",512,76,"0","0",4,"0","0",32844
17859,animator,1,"0",4194303,"0","0","0",4,"0","0",32768
17857,animator_+1,71,"0",131072,"0","0","0",4,"0","0",32768
21456,animator_p,99,119,131072,"0","0","0",4,"0",2,32768
21457,animator_p_+1,99,119,131072,"0","0","0",4,"0",2,32768
21458,animator_p_ii,99,119,131072,"0","0","0",4,"0",2,32768
21459,animator_p_ii_+1,99,119,131072,"0","0","0",4,"0",2,32768
21392,animator_z,99,119,131072,"0","0","0",4,"0",1,32768
18336,annihilator,75,"0",1024,85,"0",1,4,"0","0",32853
18337,annihilator,80,"0",1024,85,"0",1,4,"0","0",32853
18649,annihilator,85,"0",1024,85,"0",1,4,"0","0",32853
18663,annihilator,90,"0",1024,85,"0",1,4,"0","0",32853
18677,annihilator,95,"0",1024,85,"0",1,4,"0","0",32853
19758,annihilator,99,"0",1024,85,"0",1,4,"0","0",32853
19851,annihilator,99,"0",1024,103,"0",1,4,"0","0",32871
21260,annihilator,99,119,1024,85,"0",1,4,"0","0",32853
21261,annihilator,99,119,1024,103,"0",1,4,"0","0",32871
21267,annihilator,99,119,1024,103,"0",1,4,"0","0",32871
22140,annihilator,99,119,1024,103,"0",1,4,"0","0",32871
22266,antitail,99,119,1057,24,"0","0",4,"0","0",32792
22267,antitail_+1,99,119,1057,24,"0","0",4,"0","0",32792
18832,apollos_flute,83,"0",512,64,"0","0",4,"0","0",32832
22122,arasy_bow,99,119,1024,32,"0","0",4,"0",1,32800
22123,arasy_bow_+1,99,119,1024,32,"0","0",4,"0",1,32800
22135,arasy_gun,99,119,66560,58,"0","0",4,"0",1,32826
22136,arasy_gun_+1,99,119,66560,58,"0","0",4,"0",1,32826
17219,arbalest,50,"0",1185,54,"0","0",4,"0","0",32822
17226,arbalest_+1,50,"0",1185,54,"0","0",4,"0","0",32822
17165,arco_de_velocidad,71,"0",7665,48,"0","0",4,"0","0",32816
22148,arke_crossbow,99,119,1024,52,"0","0",4,"0",4,32820
19410,armageddon,80,"0",66560,99,"0","0",4,"0","0",32867
19469,armageddon,85,"0",66560,99,"0",1,4,"0","0",32867
19547,armageddon,90,"0",66560,99,"0",1,4,"0","0",32867
19645,armageddon,95,"0",66560,99,"0",1,4,"0","0",32867
19818,armageddon,99,"0",66560,99,"0",1,4,"0","0",32867
19866,armageddon,99,"0",66560,109,"0",1,4,"0","0",32877
21264,armageddon,99,119,66560,99,"0",1,4,"0","0",32867
21265,armageddon,99,119,66560,109,"0",1,4,"0","0",32877
21269,armageddon,99,119,66560,109,"0",1,4,"0","0",32877
22142,armageddon,99,119,66560,109,"0",1,4,"0","0",32877
17235,armbrust,58,"0",1185,62,"0","0",4,"0","0",32830
17248,arquebus,22,"0",1024,59,"0","0",4,"0","0",32827
17254,arquebus_+1,22,"0",1024,59,"0","0",4,"0","0",32827
22124,artemiss_bow,1,"0",4194303,138,"0","0",4,"0","0",32906
22132,artemiss_bow_+1,1,"0",4194303,138,"0","0",4,"0","0",32906
22145,artemiss_bow_+2,99,119,1024,138,"0","0",4,"0","0",32906
17184,assassins_bow,29,"0",1024,43,"0","0",4,"0","0",32811
19389,astrild,75,"0",1024,35,"0","0",4,"0","0",32803
19947,ataktos,99,"0",66560,58,"0","0",4,"0","0",32826
21477,atalanta,99,119,1024,61,"0","0",4,"0","0",32829
21253,atetepeyorg,99,115,1024,114,"0","0",4,"0","0",32882
18245,aureole,75,"0",4194303,26,"0","0",4,8,"0",32794
19192,awildas_gun,84,"0",65536,94,"0","0",4,"0","0",32862
17389,bamboo_fish._rod,1,"0",4194303,7,"0","0",4,"0","0",32775
21292,bandeiras_gun,99,100,66560,57,"0","0",4,"0","0",32825
21293,bandeiras_gun_+1,99,101,66560,57,"0","0",4,"0","0",32825
17257,bandits_gun,15,"0",70688,60,"0","0",4,"0","0",32828
17258,bandits_gun_+1,15,"0",70688,60,"0","0",4,"0","0",32828
17238,bas._crossbow,15,"0",1185,56,"0","0",4,"0","0",32824
19217,basilisk,69,"0",66560,58,"0","0",4,"0","0",32826
18935,bateleur,80,"0",1024,34,"0","0",4,"0","0",32802
19528,bateleur_+1,85,"0",1024,34,"0","0",4,"0","0",32802
19606,bateleur_+2,90,"0",1024,34,"0","0",4,"0","0",32802
19704,bateleur_+3,95,"0",1024,34,"0","0",4,"0","0",32802
17163,battle_bow,40,"0",3265,35,"0","0",4,"0","0",32803
17181,battle_bow_+1,40,"0",3265,35,"0","0",4,"0","0",32803
18937,bedlam,80,"0",66560,57,"0","0",4,"0","0",32825
19530,bedlam_+1,85,"0",66560,57,"0","0",4,"0","0",32825
19608,bedlam_+2,90,"0",66560,57,"0","0",4,"0","0",32825
19706,bedlam_+3,95,"0",66560,57,"0","0",4,"0","0",32825
21368,bestas_bane,99,119,299040,27,"0","0",4,"0","0",32795
19733,beursault_bow,87,"0",3265,33,"0","0",4,"0","0",32801
19734,beursault_bow_+1,87,"0",3265,33,"0","0",4,"0","0",32801
19393,blue_steel,75,"0",66560,60,"0","0",4,"0","0",32828
19226,blunderbuss,61,"0",70688,58,"0","0",4,"0","0",32826
19227,blunderbuss_+1,61,"0",70688,58,"0","0",4,"0","0",32826
21217,blurred_bow,99,119,1024,129,"0","0",4,"0",2,32897
21218,blurred_bow_+1,99,119,1024,129,"0","0",4,"0",2,32897
21481,blurred_cross._+1,99,119,1024,130,"0","0",4,"0",2,32898
21480,blurred_crossbow,99,119,1024,130,"0","0",4,"0",2,32898
21400,blurred_harp,99,"0",512,131,"0","0",4,"0",2,32899
21401,blurred_harp_+1,99,"0",512,131,"0","0",4,"0",2,32899
21242,bocluamni,99,105,1024,101,"0","0",4,"0","0",32869
21236,bocluamni_+1,99,113,1024,101,"0","0",4,"0","0",32869
21230,bocluamni_+2,99,119,1024,101,"0","0",4,"0","0",32869
17280,boomerang,14,"0",1057,25,"0","0",4,8,"0",32793
17287,boomerang_+1,14,"0",1057,25,"0","0",4,8,"0",32793
18144,bow_of_trials,71,"0",1024,50,"0","0",4,"0","0",32818
21221,brahmastra,99,119,1024,50,"0","0",4,"0","0",32818
21235,cama._bow,99,109,1024,118,"0","0",4,"0","0",32886
21254,cama._bowgun,99,109,1024,53,"0","0",4,"0","0",32821
21285,cama._gun,99,109,66560,58,"0","0",4,"0","0",32826
21408,cama._harp,99,"0",512,81,"0","0",4,"0","0",32849
18833,cantabanks_horn,82,"0",512,68,"0","0",4,"0","0",32836
17384,carbon_fish._rod,1,"0",4194303,4,"0","0",4,"0","0",32772
19736,cecchin._fucile_+1,87,"0",66560,60,"0","0",4,"0","0",32828
19735,cecchinos_fucile,87,"0",66560,60,"0","0",4,"0","0",32828
18695,cerberus_bow,75,"0",3265,32,"0","0",4,"0","0",32800
18701,cerberus_bow_+1,75,"0",3265,32,"0","0",4,"0","0",32800
17284,chakram,28,"0",299040,27,"0","0",4,8,"0",32795
17289,chakram_+1,28,"0",299040,27,"0","0",4,8,"0",32795
21229,cibitshavore,99,119,3072,34,"0","0",4,"0","0",32802
19940,circinae,99,"0",1024,32,"0","0",4,"0","0",32800
21234,circinae_-1,99,"0",1024,32,"0","0",4,"0","0",32800
17383,clothespole,1,"0",4194303,3,"0","0",4,"0","0",32771
18132,cmb.cst.bmrng_+1,43,"0",1057,24,"0","0",4,8,"0",32792
18133,cmb.cst.bmrng_+2,43,"0",1057,24,"0","0",4,8,"0",32792
