itemId,name,level,ilevel,jobs,MId,shieldSize,scriptType,slot,rslot,su_level,model_id
20831,aalak_axe,99,100,2098561,84,"0","0",3,"0","0",28756
20832,aalak_axe_+1,99,101,2098561,84,"0","0",3,"0","0",28756
12408,absorbing_shield,71,"0",2421,46,2,"0",2,"0","0",28718
20715,acclimator,99,119,32848,725,"0","0",3,"0","0",29397
18894,accolade_sword,81,"0",2097344,281,"0","0",3,"0","0",28953
17926,acha_darmas,68,"0",2098561,81,"0","0",3,"0","0",28753
12385,acheron_shield,75,"0",33169,50,3,"0",2,"0","0",28722
12386,acheron_shield_+1,75,"0",33169,50,3,"0",2,"0","0",28722
20986,achiuchikapu,99,119,4096,727,"0","0",3,"0","0",29399
16459,acid_baselard,40,"0",1577593,170,"0","0",3,"0","0",28842
17605,acid_dagger,23,"0",1605625,167,"0","0",3,"0","0",28839
16501,acid_knife,31,"0",474849,161,"0","0",3,"0","0",28833
16479,acid_kukri,34,"0",464033,173,"0","0",3,"0","0",28845
19135,acinaces,89,"0",65536,379,"0","0",3,"0","0",29051
21568,acrontica,99,119,262176,615,"0","0",3,"0","0",29287
17727,adaman_kilij,73,"0",32768,384,"0","0",3,"0","0",29056
17728,adaman_kilij_+1,73,"0",32768,384,"0","0",3,"0","0",29056
16461,adaman_kris,70,"0",1589256,177,"0","0",3,"0","0",28849
18022,adaman_kris_+1,70,"0",1589256,177,"0","0",3,"0","0",28849
10806,adamas,99,"0",64,61,3,"0",2,"0","0",28733
26420,adapa_shield,99,119,385,29,3,"0",2,"0","0",28701
18032,adder_jambiya,72,"0",474849,398,"0","0",3,"0","0",29070
18033,adder_jambiya_+1,72,"0",474849,398,"0","0",3,"0","0",29070
22048,adenium_mallet,1,"0",4194303,540,"0","0",3,"0","0",29212
12384,admirals_shield,69,"0",193,47,3,"0",2,"0","0",28719
16187,adoubeurs_pavise,59,"0",2385,42,1,"0",2,"0","0",28714
21132,aedold,99,105,4,446,"0","0",3,"0","0",29118
21126,aedold_+1,99,113,4,446,"0","0",3,"0","0",29118
21115,aedold_+2,99,119,4,446,"0","0",3,"0","0",29118
11927,aegis,99,"0",64,51,5,"0",2,"0","0",28723
15070,aegis,75,"0",64,51,5,"0",2,"0","0",28723
16195,aegis,80,"0",64,51,5,"0",2,"0","0",28723
16196,aegis,85,"0",64,51,5,"0",2,"0","0",28723
16197,aegis,90,"0",64,51,5,"0",2,"0","0",28723
16198,aegis,95,"0",64,51,5,"0",2,"0","0",28723
16200,aegis,99,"0",64,59,5,"0",2,"0","0",28731
20594,aeneas,99,119,262688,760,"0","0",3,"0","0",29432
21742,aern_axe,1,"0",4194303,827,"0","0",3,"0","0",29499
21743,aern_axe_ii,1,"0",4194303,893,"0","0",3,"0","0",29565
20573,aern_dagger,1,"0",4194303,826,"0","0",3,"0","0",29498
20574,aern_dagger_ii,1,"0",4194303,892,"0","0",3,"0","0",29564
20674,aern_sword,1,"0",4194303,825,"0","0",3,"0","0",29497
20675,aern_sword_ii,1,"0",4194303,891,"0","0",3,"0","0",29563
21724,agwus_axe,99,119,256,882,"0","0",3,"0","0",29554
16179,airy_buckler,71,"0",393248,42,1,"0",2,"0","0",28714
21570,air_knife,99,119,262176,785,"0","0",3,"0","0",29457
19299,aisa,97,"0",4096,313,"0","0",3,"0","0",28985
19300,aisa_+1,97,"0",4096,313,"0","0",3,"0","0",28985
19290,aizenkunitoshi,83,"0",4096,313,"0","0",3,"0","0",28985
20979,aizushintogo,99,119,4096,439,"0","0",3,"0","0",29111
27638,ajax,99,119,64,50,3,"0",2,"0","0",28722
27639,ajax_+1,99,119,64,50,3,"0",2,"0","0",28722
21719,ajja_axe,99,119,2098561,81,"0","0",3,"0","0",28753
21919,ajja_katana,99,119,4096,309,"0","0",3,"0","0",28981
21562,ajja_knife,99,119,464688,157,"0","0",3,"0","0",28829
22028,ajja_rod,99,119,1622044,218,"0","0",3,"0","0",28890
21618,ajja_sword,99,119,2209777,272,"0","0",3,"0","0",28944
19428,alards_axe,80,"0",257,82,"0","0",3,"0","0",28754
19486,alards_axe_+1,85,"0",257,82,"0","0",3,"0","0",28754
19564,alards_axe_+2,90,"0",257,82,"0","0",3,"0","0",28754
19662,alards_axe_+3,95,"0",257,82,"0","0",3,"0","0",28754
19399,almace,80,"0",32848,466,"0","0",3,"0","0",29138
19458,almace,85,"0",32848,466,"0",1,3,"0","0",29138
19536,almace,90,"0",32848,466,"0",1,3,"0","0",29138
19634,almace,95,"0",32848,466,"0",1,3,"0","0",29138
19807,almace,99,"0",32848,466,"0",1,3,"0","0",29138
19855,almace,99,"0",32848,572,"0",1,3,"0","0",29244
20653,almace,99,119,32848,466,"0",1,3,"0","0",29138
